#;approach;queueing delay;slice
1;Gómez et al.;null;QoS 1
2;Gómez et al.;null;QoS 1
3;Gómez et al.;null;QoS 1
4;Gómez et al.;null;QoS 1
5;Gómez et al.;null;QoS 1
6;Gómez et al.;null;QoS 1
7;Gómez et al.;null;QoS 1
8;Gómez et al.;null;QoS 1
9;Gómez et al.;null;QoS 1
10;Gómez et al.;null;QoS 1
11;Gómez et al.;null;QoS 1
12;Gómez et al.;null;QoS 1
13;Gómez et al.;null;QoS 1
14;Gómez et al.;null;QoS 1
15;Gómez et al.;null;QoS 1
16;Gómez et al.;null;QoS 1
17;Gómez et al.;null;QoS 1
18;Gómez et al.;null;QoS 1
19;Gómez et al.;null;QoS 1
20;Gómez et al.;null;QoS 1
21;Gómez et al.;null;QoS 1
22;Gómez et al.;null;QoS 1
23;Gómez et al.;null;QoS 1
24;Gómez et al.;null;QoS 1
25;Gómez et al.;null;QoS 1
26;Gómez et al.;null;QoS 1
27;Gómez et al.;null;QoS 1
28;Gómez et al.;null;QoS 1
29;Gómez et al.;null;QoS 1
30;Gómez et al.;null;QoS 1
31;Gómez et al.;null;QoS 1
32;Gómez et al.;null;QoS 1
33;Gómez et al.;null;QoS 1
34;Gómez et al.;null;QoS 1
35;Gómez et al.;null;QoS 1
36;Gómez et al.;null;QoS 1
37;Gómez et al.;null;QoS 1
38;Gómez et al.;null;QoS 1
39;Gómez et al.;null;QoS 1
40;Gómez et al.;null;QoS 1
41;Gómez et al.;null;QoS 1
42;Gómez et al.;null;QoS 1
43;Gómez et al.;null;QoS 1
44;Gómez et al.;null;QoS 1
45;Gómez et al.;null;QoS 1
46;Gómez et al.;null;QoS 1
47;Gómez et al.;null;QoS 1
48;Gómez et al.;null;QoS 1
49;Gómez et al.;null;QoS 1
50;Gómez et al.;null;QoS 1
51;Gómez et al.;null;QoS 1
52;Gómez et al.;null;QoS 1
53;Gómez et al.;null;QoS 1
54;Gómez et al.;null;QoS 1
55;Gómez et al.;null;QoS 1
56;Gómez et al.;null;QoS 1
57;Gómez et al.;null;QoS 1
58;Gómez et al.;null;QoS 1
59;Gómez et al.;null;QoS 1
60;Gómez et al.;null;QoS 1
61;Gómez et al.;null;QoS 1
62;Gómez et al.;null;QoS 1
63;Gómez et al.;null;QoS 1
64;Gómez et al.;null;QoS 1
65;Gómez et al.;null;QoS 1
66;Gómez et al.;null;QoS 1
67;Gómez et al.;null;QoS 1
68;Gómez et al.;null;QoS 1
69;Gómez et al.;null;QoS 1
70;Gómez et al.;null;QoS 1
71;Gómez et al.;null;QoS 1
72;Gómez et al.;null;QoS 1
73;Gómez et al.;null;QoS 1
74;Gómez et al.;null;QoS 1
75;Gómez et al.;null;QoS 1
76;Gómez et al.;null;QoS 1
77;Gómez et al.;null;QoS 1
78;Gómez et al.;null;QoS 1
79;Gómez et al.;null;QoS 1
80;Gómez et al.;null;QoS 1
81;Gómez et al.;null;QoS 1
82;Gómez et al.;null;QoS 1
83;Gómez et al.;null;QoS 1
84;Gómez et al.;null;QoS 1
85;Gómez et al.;null;QoS 1
86;Gómez et al.;null;QoS 1
87;Gómez et al.;null;QoS 1
88;Gómez et al.;null;QoS 1
89;Gómez et al.;null;QoS 1
90;Gómez et al.;null;QoS 1
91;Gómez et al.;null;QoS 1
92;Gómez et al.;null;QoS 1
93;Gómez et al.;null;QoS 1
94;Gómez et al.;null;QoS 1
95;Gómez et al.;null;QoS 1
96;Gómez et al.;null;QoS 1
97;Gómez et al.;null;QoS 1
98;Gómez et al.;null;QoS 1
99;Gómez et al.;null;QoS 1
100;Gómez et al.;null;QoS 1
101;Gómez et al.;null;QoS 1
102;Gómez et al.;null;QoS 1
103;Gómez et al.;null;QoS 1
104;Gómez et al.;null;QoS 1
105;Gómez et al.;null;QoS 1
106;Gómez et al.;null;QoS 1
107;Gómez et al.;null;QoS 1
108;Gómez et al.;null;QoS 1
109;Gómez et al.;null;QoS 1
110;Gómez et al.;null;QoS 1
111;Gómez et al.;null;QoS 1
112;Gómez et al.;null;QoS 1
113;Gómez et al.;null;QoS 1
114;Gómez et al.;null;QoS 1
115;Gómez et al.;null;QoS 1
116;Gómez et al.;null;QoS 1
117;Gómez et al.;null;QoS 1
118;Gómez et al.;null;QoS 1
119;Gómez et al.;null;QoS 1
120;Gómez et al.;null;QoS 1
121;Gómez et al.;null;QoS 1
122;Gómez et al.;null;QoS 1
123;Gómez et al.;null;QoS 1
124;Gómez et al.;null;QoS 1
125;Gómez et al.;null;QoS 1
126;Gómez et al.;null;QoS 1
127;Gómez et al.;null;QoS 1
128;Gómez et al.;null;QoS 1
129;Gómez et al.;null;QoS 1
130;Gómez et al.;null;QoS 1
131;Gómez et al.;null;QoS 1
132;Gómez et al.;null;QoS 1
133;Gómez et al.;null;QoS 1
134;Gómez et al.;null;QoS 1
135;Gómez et al.;null;QoS 1
136;Gómez et al.;null;QoS 1
137;Gómez et al.;null;QoS 1
138;Gómez et al.;null;QoS 1
139;Gómez et al.;null;QoS 1
140;Gómez et al.;null;QoS 1
141;Gómez et al.;null;QoS 1
142;Gómez et al.;null;QoS 1
143;Gómez et al.;null;QoS 1
144;Gómez et al.;null;QoS 1
145;Gómez et al.;null;QoS 1
146;Gómez et al.;null;QoS 1
147;Gómez et al.;null;QoS 1
148;Gómez et al.;null;QoS 1
149;Gómez et al.;null;QoS 1
150;Gómez et al.;null;QoS 1
151;Gómez et al.;null;QoS 1
152;Gómez et al.;null;QoS 1
153;Gómez et al.;null;QoS 1
154;Gómez et al.;null;QoS 1
155;Gómez et al.;null;QoS 1
156;Gómez et al.;null;QoS 1
157;Gómez et al.;null;QoS 1
158;Gómez et al.;null;QoS 1
159;Gómez et al.;null;QoS 1
160;Gómez et al.;null;QoS 1
161;Gómez et al.;null;QoS 1
162;Gómez et al.;null;QoS 1
163;Gómez et al.;null;QoS 1
164;Gómez et al.;null;QoS 1
165;Gómez et al.;null;QoS 1
166;Gómez et al.;null;QoS 1
167;Gómez et al.;null;QoS 1
168;Gómez et al.;null;QoS 1
169;Gómez et al.;null;QoS 1
170;Gómez et al.;null;QoS 1
171;Gómez et al.;null;QoS 1
172;Gómez et al.;null;QoS 1
173;Gómez et al.;null;QoS 1
174;Gómez et al.;null;QoS 1
175;Gómez et al.;null;QoS 1
176;Gómez et al.;null;QoS 1
177;Gómez et al.;null;QoS 1
178;Gómez et al.;null;QoS 1
179;Gómez et al.;null;QoS 1
180;Gómez et al.;null;QoS 1
181;Gómez et al.;null;QoS 1
182;Gómez et al.;null;QoS 1
183;Gómez et al.;null;QoS 1
184;Gómez et al.;null;QoS 1
185;Gómez et al.;null;QoS 1
186;Gómez et al.;null;QoS 1
187;Gómez et al.;null;QoS 1
188;Gómez et al.;null;QoS 1
189;Gómez et al.;null;QoS 1
190;Gómez et al.;null;QoS 1
191;Gómez et al.;null;QoS 1
192;Gómez et al.;null;QoS 1
193;Gómez et al.;null;QoS 1
194;Gómez et al.;587.281;QoS 1
195;Gómez et al.;1299.762;QoS 1
196;Gómez et al.;null;QoS 1
197;Gómez et al.;1478.622;QoS 1
198;Gómez et al.;1413.032;QoS 1
199;Gómez et al.;2027.743;QoS 1
