Time,Hour,STA2,STA1
1,2020-10-30T11:41:08-07:00,0,0
2,2020-10-30T11:41:09-07:00,0,0
3,2020-10-30T11:41:10-07:00,0,0
4,2020-10-30T11:41:11-07:00,0,0
5,2020-10-30T11:41:12-07:00,0,0
6,2020-10-30T11:41:13-07:00,0,0
7,2020-10-30T11:41:14-07:00,0,0
8,2020-10-30T11:41:15-07:00,0,0
9,2020-10-30T11:41:16-07:00,0,0
10,2020-10-30T11:41:17-07:00,0,0
11,2020-10-30T11:41:18-07:00,0,0
12,2020-10-30T11:41:19-07:00,0,0
13,2020-10-30T11:41:20-07:00,0,0
14,2020-10-30T11:41:21-07:00,0,0
15,2020-10-30T11:41:22-07:00,0,0
16,2020-10-30T11:41:23-07:00,0,0
17,2020-10-30T11:41:24-07:00,0,0
18,2020-10-30T11:41:25-07:00,0,0
19,2020-10-30T11:41:26-07:00,0,0
20,2020-10-30T11:41:27-07:00,0,0
21,2020-10-30T11:41:28-07:00,0,0
22,2020-10-30T11:41:29-07:00,0,0
23,2020-10-30T11:41:30-07:00,0,0
24,2020-10-30T11:41:31-07:00,0,0
25,2020-10-30T11:41:32-07:00,0.003159609,0
26,2020-10-30T11:41:33-07:00,0,0
27,2020-10-30T11:41:34-07:00,0.0003322,0
28,2020-10-30T11:41:35-07:00,0,0
29,2020-10-30T11:41:36-07:00,0,0
30,2020-10-30T11:41:37-07:00,0.000685438,0
31,2020-10-30T11:41:38-07:00,0,0
32,2020-10-30T11:41:39-07:00,0,0
33,2020-10-30T11:41:40-07:00,0,0
34,2020-10-30T11:41:41-07:00,0,0
35,2020-10-30T11:41:42-07:00,0,0
36,2020-10-30T11:41:43-07:00,0,0
37,2020-10-30T11:41:44-07:00,0,0
38,2020-10-30T11:41:45-07:00,0,0
39,2020-10-30T11:41:46-07:00,0,0
40,2020-10-30T11:41:47-07:00,0,0
41,2020-10-30T11:41:48-07:00,0,0
42,2020-10-30T11:41:49-07:00,0,0
43,2020-10-30T11:41:50-07:00,0,0
44,2020-10-30T11:41:51-07:00,0,0
45,2020-10-30T11:41:52-07:00,0,0
46,2020-10-30T11:41:53-07:00,0,0
47,2020-10-30T11:41:54-07:00,0,0
48,2020-10-30T11:41:55-07:00,0,0
49,2020-10-30T11:41:56-07:00,0,0
50,2020-10-30T11:41:57-07:00,0,0
51,2020-10-30T11:41:58-07:00,0,0
52,2020-10-30T11:41:59-07:00,0,0
53,2020-10-30T11:42:00-07:00,0,0
54,2020-10-30T11:42:01-07:00,0,0
55,2020-10-30T11:42:02-07:00,0,0
56,2020-10-30T11:42:03-07:00,0,0
57,2020-10-30T11:42:04-07:00,0,0
58,2020-10-30T11:42:05-07:00,0,0
59,2020-10-30T11:42:06-07:00,0,0
60,2020-10-30T11:42:07-07:00,0,0
61,2020-10-30T11:42:08-07:00,0,0
62,2020-10-30T11:42:09-07:00,0,0
63,2020-10-30T11:42:10-07:00,0,2.869265704
64,2020-10-30T11:42:11-07:00,0,18.42900801
65,2020-10-30T11:42:12-07:00,0,17.57573273
66,2020-10-30T11:42:13-07:00,0,18.53659925
67,2020-10-30T11:42:14-07:00,0,17.92634071
68,2020-10-30T11:42:15-07:00,0,18.04908138
69,2020-10-30T11:42:16-07:00,0,18.19353799
70,2020-10-30T11:42:17-07:00,0,7.611518056
71,2020-10-30T11:42:18-07:00,0,5.446658143
72,2020-10-30T11:42:19-07:00,0,4.373543905
73,2020-10-30T11:42:20-07:00,0.028411576,3.046277033
74,2020-10-30T11:42:21-07:00,0.004809764,2.609570923
75,2020-10-30T11:42:22-07:00,0.004405069,3.222104224
76,2020-10-30T11:42:23-07:00,0.00468492,3.021364573
77,2020-10-30T11:42:24-07:00,0.0046585,2.840890559
78,2020-10-30T11:42:25-07:00,0.00529,3.165593089
79,2020-10-30T11:42:26-07:00,0.004987691,3.660623817
80,2020-10-30T11:42:27-07:00,0.004383579,2.738823306
81,2020-10-30T11:42:28-07:00,0.005007177,1.37517357
82,2020-10-30T11:42:29-07:00,0.004647087,2.160872568
